Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.26507,7.19305,7.36589,7.13544,7.46671,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0001,8.28307,8.21715,8.40175,8.15122,8.51382,Y,Y,N,N,0.00000,0.00000,N,N,1,125
LOGQ,rf0003,7.36589,7.17865,7.48112,7.02741,7.59634,Y,Y,N,N,0.00527,0.00000,N,N,1,54
LOGZ,rf0003,8.86324,8.69183,8.90280,8.54679,8.94895,Y,Y,N,N,0.00000,0.00000,N,N,1,213
LOGQ,rf0006,7.27227,7.17865,7.45951,7.09223,7.62515,Y,Y,N,N,0.00003,0.00000,N,N,1,41
LOGZ,rf0006,8.49405,8.41493,8.66546,8.33582,8.78413,Y,Y,N,N,0.00000,0.00000,N,N,1,157
LOGQ,rf0007,7.20745,7.10663,7.38029,7.02021,7.54593,Y,Y,N,N,0.00511,0.00000,N,N,1,32
LOGZ,rf0007,8.73798,8.65887,8.85006,8.57975,8.93577,Y,Y,N,N,0.00000,0.00000,N,N,1,194
LOGQ,rf0008,8.08605,7.81239,8.28050,7.46671,8.50375,Y,Y,N,N,0.00018,0.00058,N,N,1,154
LOGZ,rf0008,9.04784,9.00169,9.05444,8.92917,inf,Y,Y,N,Y,0.00000,0.24562,N,N,1,241
LOGQ,rf0010,7.35149,7.29387,7.46671,7.23626,7.56753,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0010,8.34900,8.26330,8.43471,8.19737,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,135
LOGQ,rf0011,7.10663,7.04902,7.24346,6.99860,7.35869,Y,Y,N,N,0.01273,0.00000,N,N,1,18
LOGZ,rf0011,8.55338,8.48086,8.65227,8.40834,8.73798,Y,Y,N,N,0.00000,0.00000,N,N,1,166
LOGQ,rf0014,7.17144,7.11383,7.35149,7.04902,7.53873,Y,Y,N,N,0.00037,0.00000,N,N,1,27
LOGZ,rf0014,8.34241,8.27648,8.51382,8.19737,8.69183,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGQ,rf0015,7.18585,7.06342,7.30828,6.99140,7.43791,Y,Y,N,N,0.01984,0.00000,N,N,1,29
LOGZ,rf0015,8.93577,8.81050,8.96214,8.69183,8.99510,Y,Y,N,N,0.00000,0.00000,N,N,1,224
LOGQ,rf0017,7.28667,7.21465,7.41630,7.14264,7.53153,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0017,8.38197,8.31604,8.52042,8.25011,8.62590,Y,Y,N,N,0.00000,0.00000,N,N,1,140
LOGQ,rf0019,7.25786,7.19305,7.66116,7.09943,7.97083,Y,Y,N,N,0.00005,0.00001,N,N,1,39
LOGZ,rf0019,8.28967,8.20396,8.64568,8.09188,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,1,126
LOGQ,rf0020,7.10663,7.05622,7.34428,6.99140,7.53153,Y,Y,N,N,0.01784,0.00000,N,N,1,18
LOGZ,rf0020,8.59953,8.52042,8.76435,8.44130,8.88962,Y,Y,N,N,0.00000,0.00000,N,N,1,173
LOGQ,rf0023,7.29387,7.22906,7.46671,7.15704,7.62515,Y,Y,N,N,0.00000,0.00000,N,N,1,44
LOGZ,rf0023,8.32922,8.25670,8.48745,8.18418,8.63909,Y,Y,N,N,0.00000,0.00000,N,N,1,132
LOGQ,rf0024,6.97700,6.99860,7.15704,-inf,7.26507,N,Y,Y,N,0.09511,0.00000,N,N,1,0
LOGZ,rf0024,8.69183,8.58635,8.78413,8.50723,8.85665,Y,Y,N,N,0.00000,0.00000,N,N,1,187
LOGQ,rf0028,7.17144,7.10663,7.40910,7.03461,7.63235,Y,Y,N,N,0.00142,0.00000,N,N,1,27
LOGZ,rf0028,8.38197,8.32263,8.60612,8.24352,8.79732,Y,Y,N,N,0.00000,0.00000,N,N,1,140
LOGQ,rf0029,7.32988,7.25066,7.43791,7.17865,7.53873,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,rf0029,8.44130,8.36878,8.54679,8.30285,8.63250,Y,Y,N,N,0.00000,0.00000,N,N,1,149
LOGQ,rf0030,7.18585,7.06342,7.30828,6.99860,7.42350,Y,Y,N,N,0.01494,0.00000,N,N,1,29
LOGZ,rf0030,8.67205,8.55338,8.77095,8.46767,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,1,184
LOGQ,rf0031,7.26507,7.12103,7.38029,7.01301,7.49552,Y,Y,N,N,0.00801,0.00000,N,N,1,40
LOGZ,rf0031,8.90280,8.77095,8.93577,8.65227,8.97532,Y,Y,N,N,0.00000,0.00000,N,N,1,219
LOGQ,rf0032,7.30828,7.20025,7.45951,7.09943,7.58914,Y,Y,N,N,0.00013,0.00000,N,N,1,46
LOGZ,rf0032,8.61272,8.52042,8.73139,8.43471,8.82369,Y,Y,N,N,0.00000,0.00000,N,N,1,175
LOGQ,rf0033,7.27947,7.20745,7.46671,7.13544,7.66116,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0033,8.33582,8.26330,8.50064,8.18418,8.67205,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0034,7.41630,7.35149,7.62515,7.27947,7.80519,Y,Y,N,N,0.00000,0.00000,N,N,1,61
LOGZ,rf0034,8.26330,8.19737,8.46108,8.12485,8.63250,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,rf0040,7.25786,7.11383,7.38749,7.00581,7.51712,Y,Y,N,N,0.01056,0.00000,N,N,1,39
LOGZ,rf0040,8.90939,8.75776,8.94236,8.62590,8.98192,Y,Y,N,N,0.00000,0.00000,N,N,1,220
LOGQ,rf0042,7.48112,7.40190,7.81959,7.30107,8.02124,Y,Y,N,N,0.00000,0.00000,N,N,1,70
LOGZ,rf0042,8.32922,8.27648,8.59294,8.17759,8.73798,Y,Y,N,N,0.00000,0.00000,N,N,2,132
LOGQ,rf0043,7.21465,7.07782,7.35149,6.99860,7.50272,Y,Y,N,N,0.01453,0.00000,N,N,1,33
LOGZ,rf0043,8.90939,8.78413,8.94895,8.67205,8.99510,Y,Y,N,N,0.00000,0.00007,N,N,1,220
LOGQ,rf0045,7.35149,7.29387,7.49552,7.22906,7.62515,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0045,8.26330,8.19737,8.40175,8.13144,8.53360,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,rf0048,7.28667,7.21465,7.40910,7.14984,7.52433,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0048,8.36219,8.28307,8.46767,8.21055,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0049,7.30828,7.25066,7.52433,7.17144,7.70437,Y,Y,N,N,0.00000,0.00000,N,N,1,46
LOGZ,rf0049,8.31604,8.25011,8.50064,8.17100,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,rf0051,7.46671,7.39470,7.71157,7.31548,7.94922,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0051,8.20396,8.13144,8.40834,8.05892,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,1,113
LOGQ,rf0053,7.36589,7.30828,7.48112,7.25066,7.58194,Y,Y,N,N,0.00000,0.00000,N,N,1,54
