Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.27227,7.20025,7.37309,7.13544,7.47391,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0001,8.31604,8.24352,8.39515,8.18418,8.51382,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,rf0003,7.22906,7.09223,7.42350,6.99860,7.57474,Y,Y,N,N,0.01340,0.00000,N,N,1,35
LOGZ,rf0003,8.73798,8.60612,8.79732,8.50723,8.85665,Y,Y,N,N,0.00000,0.00000,N,N,1,194
LOGQ,rf0006,7.26507,7.17144,7.44511,7.08502,7.58914,Y,Y,N,N,0.00004,0.00000,N,N,1,40
LOGZ,rf0006,8.51382,8.40175,8.64568,8.32922,8.74457,Y,Y,N,N,0.00000,0.00000,N,N,4,160
LOGQ,rf0007,7.16424,7.07782,7.29387,7.00581,7.42350,Y,Y,N,N,0.00853,0.00000,N,N,1,26
LOGZ,rf0007,8.70502,8.63250,8.77095,8.56657,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,1,189
LOGQ,rf0008,6.97700,7.03461,7.58914,6.98420,7.87721,N,N,Y,N,0.03825,0.00000,N,N,2,0
LOGZ,rf0008,8.76435,8.63909,8.83028,8.52042,8.88302,Y,Y,N,N,0.00000,0.00000,N,N,3,198
LOGQ,rf0010,7.35869,7.29387,7.45951,7.23626,7.56033,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0010,8.34241,8.27648,8.42812,8.21715,8.53360,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGQ,rf0011,7.10663,7.04902,7.23626,6.99860,7.35149,Y,Y,N,N,0.01304,0.00000,N,N,1,18
LOGZ,rf0011,8.56657,8.48086,8.64568,8.40834,8.72480,Y,Y,N,N,0.00000,0.00000,N,N,1,168
LOGQ,rf0014,7.17144,7.10663,7.33708,7.04902,7.50992,Y,Y,N,N,0.00036,0.00000,N,N,1,27
LOGZ,rf0014,8.33582,8.28307,8.49405,8.21715,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0015,6.97700,7.00581,7.27227,-inf,7.47391,N,Y,Y,N,0.07641,0.00000,N,N,1,0
LOGZ,rf0015,8.79072,8.67865,8.83687,8.58635,8.88302,Y,Y,N,N,0.00000,0.00000,N,N,2,202
LOGQ,rf0017,7.27947,7.20745,7.40910,7.14264,7.52433,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0017,8.35560,8.31604,8.50723,8.25670,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,1,136
LOGQ,rf0019,7.27227,7.20025,7.59634,7.10663,7.87000,Y,Y,N,N,0.00004,0.00000,N,N,1,41
LOGZ,rf0019,8.32263,8.25670,8.58635,8.17100,8.75776,Y,Y,N,N,0.00000,0.00000,N,N,3,131
LOGQ,rf0020,7.10663,7.04181,7.28667,6.99140,7.43791,Y,Y,N,N,0.02073,0.00000,N,N,1,18
LOGZ,rf0020,8.59294,8.51382,8.70502,8.43471,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,1,172
LOGQ,rf0023,7.30107,7.23626,7.45951,7.15704,7.61795,Y,Y,N,N,0.00000,0.00000,N,N,1,45
LOGZ,rf0023,8.33582,8.27648,8.47427,8.21055,8.62590,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0024,6.97700,6.99140,7.14264,-inf,7.25066,N,Y,Y,N,0.11287,0.00000,N,N,1,0
