Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.25478,7.18276,7.37,7.12515,7.49963,Y,Y,N,N,0,0,N,N,1,54
LOGZ,rf0001,8.23693,8.13803,8.34241,8.05892,8.47427,Y,Y,N,N,0,0,N,N,1,118
LOGQ,rf0003,6.96671,6.93791,7.54284,6.82268,7.70128,Y,Y,N,N,0,0,N,N,2,34
LOGZ,rf0003,8.3556,8.33582,8.87643,8.2633,8.95554,Y,Y,N,N,0,0,N,N,3,136
LOGQ,rf0006,7.15395,7.11074,7.39881,7.03873,7.60046,Y,Y,N,N,0,0,N,N,1,47
LOGZ,rf0006,8.31604,8.25011,8.48745,8.17759,8.69842,Y,Y,N,N,0,0,N,N,2,130
LOGQ,rf0007,7.12515,7.00992,7.3412,6.8947,7.54284,Y,Y,N,N,0,0,N,N,1,45
LOGZ,rf0007,8.60612,8.46108,8.75776,8.37537,8.89621,Y,Y,N,N,0,0,N,N,2,174
LOGQ,rf0008,8.17659,7.94614,8.36383,7.62926,8.59428,Y,Y,N,N,0,0,N,N,2,118
LOGZ,rf0008,9.04125,8.96873,9.04784,8.83687,inf,Y,Y,N,Y,0,0.15892,N,N,2,240
LOGQ,rf0010,7.3412,7.28358,7.47083,7.22597,7.61486,Y,Y,N,N,0,0,N,N,1,60
LOGZ,rf0010,8.23693,8.1644,8.36219,8.09188,8.48745,Y,Y,N,N,0,0,N,N,1,118
LOGQ,rf0011,7.02433,6.96671,7.19716,6.8947,7.3556,Y,Y,N,N,0,0,N,N,1,38
LOGZ,rf0011,8.36878,8.29626,8.51382,8.23693,8.65887,Y,Y,N,N,0,0,N,N,2,138
LOGQ,rf0014,7.13955,7.08194,7.28358,7.02433,7.49963,Y,Y,N,N,0,0,N,N,1,46
LOGZ,rf0014,8.23693,8.15781,8.3556,8.09188,8.58635,Y,Y,N,N,0,0,N,N,1,118
LOGQ,rf0015,7.22597,6.75066,7.3556,6.63544,7.60046,Y,Y,N,N,0,0,N,N,5,52
LOGZ,rf0015,8.96214,8.37537,8.95554,8.29626,9.00829,N,Y,N,N,0,0.00009,N,N,3,228
LOGQ,rf0017,7.25478,7.18276,7.38441,7.11074,7.57165,Y,Y,N,N,0,0,N,N,1,54
LOGZ,rf0017,8.25011,8.19078,8.37537,8.12485,8.5402,Y,Y,N,N,0,0,N,N,1,120
LOGQ,rf0019,7.24037,7.16836,7.47083,7.08194,7.85972,Y,Y,N,N,0,0,N,N,1,53
LOGZ,rf0019,8.15781,8.0721,8.32922,7.9798,8.7248,Y,Y,N,N,0,0,N,N,1,106
LOGQ,rf0020,6.99552,6.9235,7.22597,6.85149,7.45642,Y,Y,N,N,0,0,N,N,1,36
LOGZ,rf0020,8.36219,8.30285,8.59294,8.24352,8.79732,Y,Y,N,N,0,0,N,N,2,137
LOGQ,rf0023,7.26918,7.21157,7.42762,7.13955,7.62926,Y,Y,N,N,0,0,N,N,1,55
LOGZ,rf0023,8.21715,8.14463,8.34241,8.0721,8.5402,Y,Y,N,N,0,0,N,N,1,115
LOGQ,rf0024,6.82268,6.77947,7.03873,6.72186,7.22597,Y,Y,N,N,0,0,N,N,1,24
LOGZ,rf0024,8.36878,8.31604,8.61931,8.2633,8.77754,Y,Y,N,N,0,0,N,N,2,138
