Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.34942,7.27690,7.41535,7.21756,7.48128,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0001,8.26219,8.21604,8.33471,8.16330,8.43360,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0003,7.17141,7.08571,7.30327,7.01978,7.40876,Y,Y,N,N,0.01030,0.00000,N,N,1,26
LOGZ,rf0003,8.51931,8.44020,8.69072,8.36108,8.77643,Y,Y,N,N,0.00000,0.00000,N,N,1,176
LOGQ,rf0006,7.25712,7.20438,7.39557,7.14504,7.48128,Y,Y,N,N,0.00000,0.00000,N,N,2,39
LOGZ,rf0006,8.38086,8.32152,8.53909,8.26219,8.64457,Y,Y,N,N,0.00000,0.00000,N,N,1,155
LOGQ,rf0007,7.16482,7.09230,7.29008,7.03296,7.40216,Y,Y,N,N,0.00687,0.00000,N,N,1,25
LOGZ,rf0007,8.65776,8.53250,8.71050,8.45338,8.78962,Y,Y,N,N,0.00000,0.00000,N,N,1,197
LOGQ,rf0008,7.78455,7.47468,7.93618,7.14504,8.12738,Y,Y,N,N,0.00207,0.00002,N,N,1,119
LOGZ,rf0008,8.95444,8.83577,8.95444,8.57205,inf,Y,Y,N,Y,0.00000,0.17503,N,N,1,242
LOGQ,rf0010,7.40876,7.36261,7.46809,7.32305,7.52083,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0010,8.26219,8.22922,8.32812,8.18307,8.40064,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0011,7.14504,7.09230,7.25053,7.03956,7.35601,Y,Y,N,N,0.00276,0.00000,N,N,1,22
LOGZ,rf0011,8.44020,8.37427,8.57205,8.31493,8.67095,Y,Y,N,N,0.00000,0.00000,N,N,1,164
LOGQ,rf0014,7.21756,7.15823,7.35601,7.09230,7.46809,Y,Y,N,N,0.00015,0.00000,N,N,1,33
LOGZ,rf0014,8.26878,8.24241,8.46657,8.17648,8.62480,Y,Y,N,N,0.00000,0.00000,N,N,1,138
LOGQ,rf0015,7.00000,7.02637,7.19779,-inf,7.30327,N,Y,Y,N,0.07677,0.00000,N,N,1,0
LOGZ,rf0015,8.78962,8.56546,8.82258,8.44020,8.86873,Y,Y,N,N,0.00000,0.00000,N,N,1,217
LOGQ,rf0017,7.32964,7.24394,7.37579,7.19779,7.43513,Y,Y,N,N,0.00000,0.00000,N,N,2,50
LOGZ,rf0017,8.26219,8.24900,8.37427,8.20285,8.46657,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0023,7.37579,7.30327,7.46150,7.23075,7.55380,Y,Y,N,N,0.00000,0.00000,N,N,1,57
LOGZ,rf0023,8.26219,8.23582,8.42042,8.17648,8.55227,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0024,7.00659,7.01319,7.12526,-inf,7.21097,N,Y,Y,N,0.13389,0.00000,N,N,1,1
LOGZ,rf0024,8.53909,8.45338,8.65776,8.38086,8.74347,Y,Y,N,N,0.00000,0.00000,N,N,1,179
LOGQ,rf0028,7.21756,7.15823,7.36920,7.09230,7.48128,Y,Y,N,N,0.00012,0.00000,N,N,1,33
LOGZ,rf0028,8.30175,8.26219,8.49953,8.18967,8.65117,Y,Y,N,N,0.00000,0.00000,N,N,1,143
LOGQ,rf0029,7.34942,7.27690,7.40876,7.22416,7.47468,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0029,8.30175,8.26878,8.39405,8.22263,8.47975,Y,Y,N,N,0.00000,0.00000,N,N,1,143
LOGQ,rf0030,7.10549,7.05934,7.19779,7.01978,7.27690,Y,Y,N,N,0.01206,0.00000,N,N,1,16
LOGZ,rf0030,8.47316,8.40723,8.59842,8.34130,8.68413,Y,Y,N,N,0.00000,0.00000,N,N,1,169
LOGQ,rf0031,7.09889,7.03956,7.23734,7.00659,7.33623,Y,Y,N,N,0.04184,0.00000,N,N,1,15
LOGZ,rf0031,8.73028,8.52590,8.76984,8.42701,8.82917,Y,Y,N,N,0.00000,0.00000,N,N,2,208
LOGQ,rf0033,7.37579,7.29668,7.48128,7.21097,7.59336,Y,Y,N,N,0.00000,0.00000,N,N,1,57
LOGZ,rf0033,8.26219,8.22922,8.42701,8.15670,8.57865,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0034,7.46809,7.41535,7.55380,7.36261,7.65928,Y,Y,N,N,0.00000,0.00000,N,N,1,71
LOGZ,rf0034,8.26219,8.21604,8.37427,8.15011,8.49953,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0040,7.05274,7.03956,7.25053,7.00659,7.36261,Y,Y,N,N,0.04875,0.00000,N,N,1,8
LOGZ,rf0040,8.74347,8.49953,8.77643,8.40723,8.84236,Y,Y,N,N,0.00000,0.00000,N,N,2,210
LOGQ,rf0042,7.52083,7.46150,7.65928,7.39557,7.77796,Y,Y,N,N,0.00000,0.00000,N,N,1,79
LOGZ,rf0042,8.26219,8.19626,8.38086,8.12374,8.51272,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0043,7.07911,7.06593,7.41535,7.00659,7.59995,Y,Y,N,N,0.02947,0.00000,N,N,1,12
LOGZ,rf0043,8.83577,8.60502,8.88192,8.46657,8.94125,Y,Y,N,N,0.00000,0.00860,N,N,1,224
LOGQ,rf0045,7.42194,7.36920,7.49446,7.32305,7.55380,Y,Y,N,N,0.00000,0.00000,N,N,1,64
LOGZ,rf0045,8.26219,8.20285,8.32152,8.14352,8.40064,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0048,7.35601,7.27690,7.42194,7.22416,7.48787,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,rf0048,8.26219,8.23582,8.37427,8.18967,8.47316,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0049,7.38238,7.32964,7.46809,7.26371,7.54721,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0049,8.26219,8.22922,8.38745,8.16989,8.51272,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0051,7.54721,7.48787,7.67906,7.42194,7.79114,Y,Y,N,N,0.00000,0.00000,N,N,1,83
LOGZ,rf0051,8.26219,8.15670,8.34130,8.07759,8.47975,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0053,7.40876,7.36920,7.46150,7.32964,7.51424,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0053,8.26219,8.21604,8.30175,8.16989,8.36108,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0058,7.22416,7.14504,7.38898,7.05934,7.50765,Y,Y,N,N,0.00188,0.00000,N,N,1,34
LOGZ,rf0058,8.40723,8.34790,8.59842,8.27537,8.71709,Y,Y,N,N,0.00000,0.00000,N,N,1,159
LOGQ,rf0060,7.19119,7.15164,7.25053,7.11208,7.30986,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGZ,rf0060,8.26219,8.24241,8.35449,8.20285,8.44020,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0062,7.09889,7.05274,7.19119,7.01319,7.27031,Y,Y,N,N,0.01948,0.00000,N,N,1,15
LOGZ,rf0062,8.57205,8.48635,8.65117,8.42042,8.70391,Y,Y,N,N,0.00000,0.00000,N,N,1,184
LOGQ,rf0064,7.46150,7.41535,7.51424,7.36920,7.56698,Y,Y,N,N,0.00000,0.00000,N,N,1,70
LOGZ,rf0064,8.26219,8.19626,8.28856,8.13033,8.34130,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0065,7.23734,7.19779,7.31646,7.15823,7.38238,Y,Y,N,N,0.00000,0.00000,N,N,1,36
LOGZ,rf0065,8.26219,8.23582,8.33471,8.18967,8.42042,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0068,7.36261,7.27031,7.48128,7.19119,7.60654,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0068,8.26219,8.16989,8.39405,8.08418,8.58524,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0071,7.13186,7.05934,7.32305,7.00659,7.47468,Y,Y,N,N,0.02808,0.00000,N,N,1,20
LOGZ,rf0071,8.77643,8.59842,8.83577,8.48635,8.90169,Y,Y,N,N,0.00000,0.00055,N,N,1,215
LOGQ,rf0072,7.80433,7.73840,7.86366,7.68566,7.94278,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGZ,rf0072,8.26219,8.15670,8.27537,8.07759,8.31493,Y,Y,N,N,0.00000,0.00000,N,N,1,137
