Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.34942,7.27690,7.40876,7.22416,7.46809,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0001,17.02219,16.98263,17.08152,16.93648,17.17382,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0003,7.13845,7.07252,7.27690,7.01978,7.38898,Y,Y,N,N,0.01240,0.00000,N,N,1,21
LOGZ,rf0003,17.26612,17.18701,17.38480,17.11449,17.46391,Y,Y,N,N,0.00000,0.00000,N,N,1,174
LOGQ,rf0006,7.25712,7.21097,7.39557,7.15164,7.48128,Y,Y,N,N,0.00000,0.00000,N,N,2,39
LOGZ,rf0006,17.13427,17.08152,17.29250,17.01560,17.39139,Y,Y,N,N,0.00000,0.00000,N,N,1,154
LOGQ,rf0007,7.14504,7.08571,7.25712,7.03296,7.35601,Y,Y,N,N,0.00588,0.00000,N,N,1,22
LOGZ,rf0007,17.36502,17.27272,17.41776,17.20679,17.47050,Y,Y,N,N,0.00000,0.00000,N,N,1,189
LOGQ,rf0008,7.00000,7.05274,7.54721,7.00659,7.79114,N,N,Y,N,0.04090,0.00000,N,N,2,0
LOGZ,rf0008,17.33205,17.20679,17.45072,17.12108,17.52984,Y,Y,N,N,0.00000,0.00000,N,N,3,184
LOGQ,rf0010,7.38898,7.34942,7.44172,7.30986,7.48128,Y,Y,N,N,0.00000,0.00000,N,N,1,59
LOGZ,rf0010,17.02219,16.98922,17.06834,16.95626,17.12767,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0011,7.13845,7.09230,7.23075,7.04615,7.31646,Y,Y,N,N,0.00145,0.00000,N,N,1,21
LOGZ,rf0011,17.21338,17.13427,17.30568,17.07493,17.39139,Y,Y,N,N,0.00000,0.00000,N,N,2,166
LOGQ,rf0014,7.22416,7.17801,7.35601,7.12526,7.45491,Y,Y,N,N,0.00000,0.00000,N,N,1,34
LOGZ,rf0014,17.02219,17.00241,17.21338,16.94967,17.35183,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0015,7.00000,7.01319,7.19119,-inf,7.31646,N,Y,Y,N,0.12088,0.00000,N,N,1,0
LOGZ,rf0015,17.33865,17.24635,17.45072,17.16723,17.51665,Y,Y,N,N,0.00000,0.00000,N,N,1,185
LOGQ,rf0017,7.27031,7.23734,7.36920,7.19779,7.42853,Y,Y,N,N,0.00000,0.00000,N,N,2,41
LOGZ,rf0017,17.02219,17.00241,17.12108,16.96285,17.21338,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0019,7.38238,7.29668,7.53402,7.20438,7.71862,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0019,17.01560,16.96285,17.21338,16.88374,17.37161,Y,Y,N,N,0.00000,0.00000,N,N,2,136
LOGQ,rf0020,7.13845,7.07911,7.25053,7.02637,7.34942,Y,Y,N,N,0.00735,0.00000,N,N,1,21
LOGZ,rf0020,17.25294,17.17382,17.36502,17.10130,17.43754,Y,Y,N,N,0.00000,0.00000,N,N,1,172
LOGQ,rf0023,7.36920,7.30986,7.44831,7.25053,7.52743,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,rf0023,17.02219,16.99582,17.15405,16.94967,17.27931,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0024,7.00000,7.00659,7.10549,-inf,7.17801,N,Y,Y,N,0.16359,0.00000,N,N,1,0
LOGZ,rf0024,17.27931,17.20679,17.37820,17.13427,17.44413,Y,Y,N,N,0.00000,0.00000,N,N,1,176
LOGQ,rf0028,7.21756,7.16482,7.35601,7.11208,7.46150,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGZ,rf0028,17.03537,17.01560,17.24635,16.95626,17.37820,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,rf0029,7.34283,7.26371,7.38898,7.21756,7.44831,Y,Y,N,N,0.00000,0.00000,N,N,2,52
LOGZ,rf0029,17.03537,17.01560,17.13427,16.98263,17.21338,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,rf0030,7.10549,7.05934,7.19119,7.01978,7.26371,Y,Y,N,N,0.01185,0.00000,N,N,1,16
LOGZ,rf0030,17.23975,17.16064,17.33865,17.10130,17.41776,Y,Y,N,N,0.00000,0.00000,N,N,1,170
LOGQ,rf0031,7.03296,7.02637,7.21097,-inf,7.31646,Y,Y,N,N,0.06665,0.00000,N,N,1,5
LOGZ,rf0031,17.33865,17.24635,17.43095,17.17382,17.49687,Y,Y,N,N,0.00000,0.00000,N,N,1,185
LOGQ,rf0032,7.23734,7.17801,7.35601,7.11208,7.44172,Y,Y,N,N,0.00003,0.00000,N,N,2,36
LOGZ,rf0032,17.25294,17.18042,17.35842,17.10130,17.42435,Y,Y,N,N,0.00000,0.00000,N,N,1,172
LOGQ,rf0033,7.37579,7.31646,7.47468,7.24394,7.57358,Y,Y,N,N,0.00000,0.00000,N,N,1,57
LOGZ,rf0033,17.02219,16.98922,17.17382,16.93648,17.31227,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0034,7.46809,7.41535,7.54061,7.36920,7.63291,Y,Y,N,N,0.00000,0.00000,N,N,1,71
LOGZ,rf0034,17.02219,16.97604,17.10790,16.92330,17.23316,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0040,7.01319,7.02637,7.20438,-inf,7.32305,N,Y,Y,N,0.07961,0.00000,N,N,1,2
LOGZ,rf0040,17.30568,17.22657,17.42435,17.14745,17.49687,Y,Y,N,N,0.00000,0.00000,N,N,2,180
LOGQ,rf0042,7.52083,7.46150,7.63951,7.39557,7.75818,Y,Y,N,N,0.00000,0.00000,N,N,1,79
LOGZ,rf0042,17.02219,16.96285,17.12108,16.90352,17.25294,Y,Y,N,N,0.00000,0.00000,N,N,1,137
