Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.45642,7.31239,7.64367,7.16836,7.78770,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0001,7.59742,7.51831,7.76883,7.46556,8.36219,Y,Y,N,N,0.03325,0.00000,N,N,2,21
LOGQ,rf0003,7.37000,7.13955,7.52844,6.95231,7.70128,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0003,8.11825,8.05892,8.75117,7.92047,8.93577,Y,Y,N,N,0.00006,0.00004,N,N,3,100
LOGQ,rf0006,7.47083,7.29799,7.65807,7.12515,7.81651,Y,Y,N,N,0.00000,0.00000,N,N,1,69
LOGZ,rf0006,7.88750,7.78861,8.33582,7.60401,8.62590,Y,Y,N,N,0.00119,0.00000,N,N,2,65
LOGQ,rf0007,7.12515,7.00992,7.31239,6.89470,7.48523,Y,Y,N,N,0.00000,0.00000,N,N,1,45
LOGZ,rf0007,8.61931,8.34900,8.73139,8.21715,8.85006,Y,Y,N,N,0.00000,0.00001,N,N,3,176
LOGQ,rf0008,7.29799,7.18276,8.20540,6.86589,8.45025,Y,Y,N,N,0.00005,0.00000,N,N,2,57
LOGZ,rf0008,9.06103,8.05892,8.99510,7.95343,9.05444,N,N,N,Y,0.00007,0.04257,N,N,3,243
LOGQ,rf0010,7.61486,7.44202,7.73009,7.29799,7.84531,Y,Y,N,N,0.00000,0.00000,N,N,1,79
LOGZ,rf0010,7.63698,7.53149,7.76883,7.47216,8.38197,Y,Y,N,N,0.02259,0.00000,N,N,2,27
LOGQ,rf0011,7.13955,7.02433,7.29799,6.89470,7.44202,Y,Y,N,N,0.00000,0.00000,N,N,1,46
LOGZ,rf0011,8.26989,7.77543,8.45449,7.57105,8.64568,Y,Y,N,N,0.00192,0.00000,N,N,2,123
LOGQ,rf0014,7.55725,7.29799,7.73009,7.11074,7.90293,Y,Y,N,N,0.00000,0.00000,N,N,1,75
LOGZ,rf0014,7.88750,7.69631,8.18418,7.52490,8.45449,Y,Y,N,N,0.00399,0.00000,N,N,2,65
LOGQ,rf0015,7.21157,6.86589,7.32679,6.69305,7.60046,Y,Y,N,N,0.00009,0.00000,N,N,3,51
LOGZ,rf0015,8.09848,8.08529,8.92258,7.97980,9.02807,Y,Y,N,N,0.00003,0.00515,N,N,4,97
LOGQ,rf0017,7.51404,7.34120,7.62926,7.19716,7.75889,Y,Y,N,N,0.00000,0.00000,N,N,1,72
LOGZ,rf0017,7.77543,7.63698,8.28307,7.51171,8.48086,Y,Y,N,N,0.00518,0.00000,N,N,2,48
LOGQ,rf0019,7.90293,7.64367,8.07577,7.38441,8.26301,Y,Y,N,N,0.00000,0.00000,N,N,1,99
LOGZ,rf0019,7.96662,7.83476,8.20396,7.63038,8.54679,Y,Y,N,N,0.00099,0.00000,N,N,2,77
LOGQ,rf0020,7.16836,7.02433,7.38441,6.88029,7.57165,Y,Y,N,N,0.00000,0.00000,N,N,1,48
LOGZ,rf0020,8.21055,7.88750,8.49405,7.65016,8.73798,Y,Y,N,N,0.00085,0.00000,N,N,2,114
LOGQ,rf0023,7.64367,7.45642,7.81651,7.28358,7.94614,Y,Y,N,N,0.00000,0.00000,N,N,1,81
LOGZ,rf0023,7.80180,7.63698,8.23693,7.50512,8.47427,Y,Y,N,N,0.00554,0.00000,N,N,2,52
LOGQ,rf0024,6.98112,6.85149,7.13955,6.75066,7.28358,Y,Y,N,N,0.00001,0.00000,N,N,1,35
LOGZ,rf0024,8.20396,8.11166,8.57975,7.77543,8.77095,Y,Y,N,N,0.00028,0.00000,N,N,3,113
LOGQ,rf0028,7.61486,7.34120,7.78770,7.12515,7.93173,Y,Y,N,N,0.00000,0.00000,N,N,1,79
LOGZ,rf0028,7.94684,7.79520,8.19737,7.59742,8.50723,Y,Y,N,N,0.00139,0.00000,N,N,2,74
LOGQ,rf0029,7.45642,7.31239,7.60046,7.18276,7.70128,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0029,7.75565,7.63038,8.35560,7.50512,8.50064,Y,Y,N,N,0.00538,0.00000,N,N,2,45
LOGQ,rf0030,7.22597,7.06753,7.37000,6.92350,7.51404,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0030,8.17759,8.00618,8.59953,7.80180,8.78413,Y,Y,N,N,0.00017,0.00000,N,N,3,109
LOGQ,rf0031,7.22597,6.98112,7.42762,6.80828,7.62926,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0031,8.13144,8.14463,8.90280,8.01936,9.00169,N,Y,N,N,0.00002,0.00085,N,N,4,102
LOGQ,rf0032,7.38441,7.22597,7.52844,7.08194,7.65807,Y,Y,N,N,0.00000,0.00000,N,N,1,63
LOGZ,rf0032,8.25011,7.88091,8.50064,7.63038,8.69842,Y,Y,N,N,0.00109,0.00000,N,N,2,120
LOGQ,rf0033,7.61486,7.38441,7.83091,7.19716,8.01815,Y,Y,N,N,0.00000,0.00000,N,N,1,79
LOGZ,rf0033,7.79520,7.62379,8.21055,7.49193,8.46767,Y,Y,N,N,0.00808,0.00000,N,N,2,51
LOGQ,rf0034,7.90293,7.71568,8.03256,7.54284,8.14778,Y,Y,N,N,0.00000,0.00000,N,N,1,99
LOGZ,rf0034,7.78861,7.63038,8.25011,7.50512,8.47427,Y,Y,N,N,0.00559,0.00000,N,N,2,50
LOGQ,rf0040,7.22597,6.99552,7.41321,6.80828,7.61486,Y,Y,N,N,0.00001,0.00000,N,N,1,52
LOGZ,rf0040,8.10507,8.07210,8.83687,7.95343,8.99510,Y,Y,N,N,0.00004,0.00112,N,N,4,98
LOGQ,rf0042,8.00375,7.80210,8.14778,7.61486,8.30622,Y,Y,N,N,0.00000,0.00000,N,N,1,106
LOGZ,rf0042,7.83476,7.73587,8.36219,7.59742,8.57316,Y,Y,N,N,0.00082,0.00000,N,N,2,57
LOGQ,rf0043,7.18276,6.89470,7.37000,6.75066,7.61486,Y,Y,N,N,0.00001,0.00000,N,N,2,49
LOGZ,rf0043,8.75776,8.17100,8.91599,8.03914,9.02147,Y,Y,N,N,0.00001,0.00406,N,N,4,197
LOGQ,rf0045,7.71568,7.52844,7.85972,7.35560,7.97494,Y,Y,N,N,0.00000,0.00000,N,N,1,86
LOGZ,rf0045,7.64357,7.53808,7.82158,7.47216,8.40834,Y,Y,N,N,0.01963,0.00000,N,N,2,28
LOGQ,rf0048,7.51404,7.34120,7.64367,7.18276,7.77330,Y,Y,N,N,0.00000,0.00000,N,N,1,72
LOGZ,rf0048,7.71609,7.57105,7.86113,7.47875,8.42812,Y,Y,N,N,0.01239,0.00000,N,N,2,39
LOGQ,rf0049,7.74449,7.54284,7.90293,7.34120,8.04696,Y,Y,N,N,0.00000,0.00000,N,N,1,88
LOGZ,rf0049,7.83476,7.67653,8.25011,7.53149,8.50064,Y,Y,N,N,0.00335,0.00000,N,N,2,57
LOGQ,rf0051,8.06136,7.84531,8.20540,7.64367,8.34943,Y,Y,N,N,0.00000,0.00000,N,N,1,110
LOGZ,rf0051,7.72268,7.58423,8.26989,7.48534,8.48745,Y,Y,N,N,0.01068,0.00000,N,N,2,40
LOGQ,rf0053,7.67247,7.49963,7.78770,7.34120,7.90293,Y,Y,N,N,0.00000,0.00000,N,N,1,83
LOGZ,rf0053,7.60401,7.52490,7.75565,7.46556,8.37537,Y,Y,N,N,0.02656,0.00000,N,N,2,22
LOGQ,rf0058,7.28358,7.12515,7.51404,6.96671,7.71568,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,rf0058,8.23033,7.75565,8.39515,7.55786,8.65887,Y,Y,N,N,0.00224,0.00000,N,N,2,117
LOGQ,rf0059,7.41321,7.26918,7.60046,7.15395,7.75889,Y,Y,N,N,0.00000,0.00000,N,N,1,65
LOGZ,rf0059,7.61720,7.53149,8.16440,7.46556,8.44790,Y,Y,N,N,0.02576,0.00000,N,N,2,24
