Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.34942,7.27690,7.40876,7.22416,7.47468,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0001,8.26219,8.22263,8.33471,8.16989,8.42701,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0003,7.17141,7.08571,7.29668,7.01978,7.40216,Y,Y,N,N,0.01032,0.00000,N,N,1,26
LOGZ,rf0003,8.51931,8.44020,8.69072,8.36108,8.76984,Y,Y,N,N,0.00000,0.00000,N,N,1,176
LOGQ,rf0006,7.26371,7.21756,7.40216,7.15823,7.48787,Y,Y,N,N,0.00000,0.00000,N,N,2,40
LOGZ,rf0006,8.38086,8.32812,8.54568,8.26219,8.65117,Y,Y,N,N,0.00000,0.00000,N,N,1,155
LOGQ,rf0007,7.16482,7.09889,7.28349,7.03956,7.38898,Y,Y,N,N,0.00443,0.00000,N,N,1,25
LOGZ,rf0007,8.64457,8.53250,8.69732,8.45997,8.77643,Y,Y,N,N,0.00000,0.00000,N,N,1,195
LOGQ,rf0008,7.78455,7.48128,7.90981,7.16482,8.07463,Y,Y,N,N,0.00180,0.00000,N,N,1,119
LOGZ,rf0008,8.94784,8.84895,8.95444,8.60502,inf,Y,Y,N,Y,0.00000,0.17223,N,N,1,241
LOGQ,rf0010,7.38898,7.34942,7.44172,7.30986,7.48787,Y,Y,N,N,0.00000,0.00000,N,N,1,59
LOGZ,rf0010,8.26219,8.23582,8.31493,8.18967,8.37427,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0011,7.13845,7.09230,7.23075,7.04615,7.32964,Y,Y,N,N,0.00141,0.00000,N,N,1,21
LOGZ,rf0011,8.43360,8.37427,8.55887,8.31493,8.65117,Y,Y,N,N,0.00000,0.00000,N,N,1,163
LOGQ,rf0014,7.23075,7.18460,7.36261,7.13186,7.46150,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGZ,rf0014,8.27537,8.25560,8.46657,8.18967,8.61820,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,rf0015,7.00000,7.02637,7.19119,-inf,7.29668,N,Y,Y,N,0.07908,0.00000,N,N,1,0
LOGZ,rf0015,8.78302,8.56546,8.81599,8.44020,8.86873,Y,Y,N,N,0.00000,0.00000,N,N,1,216
LOGQ,rf0017,7.32964,7.24394,7.37579,7.19779,7.43513,Y,Y,N,N,0.00000,0.00000,N,N,2,50
