Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.26507,7.19305,7.35869,7.13544,7.45951,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0001,8.23693,8.14463,8.34900,8.06551,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0003,7.36589,7.07782,7.48112,6.98420,7.62515,Y,Y,N,N,0.02599,0.00000,N,N,2,54
LOGZ,rf0003,8.83028,8.46767,8.85006,8.32922,8.90939,Y,Y,N,N,0.00000,0.00000,N,N,2,208
LOGQ,rf0006,7.18585,7.12103,7.35869,7.05622,7.53153,Y,Y,N,N,0.00011,0.00000,N,N,1,29
LOGZ,rf0006,8.33582,8.26989,8.50723,8.19737,8.67205,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0007,7.09223,7.04181,7.31548,6.98420,7.49552,Y,Y,N,N,0.02508,0.00000,N,N,1,16
LOGZ,rf0007,8.58635,8.50064,8.73798,8.42152,8.86324,Y,Y,N,N,0.00000,0.00000,N,N,1,171
LOGQ,rf0008,8.02124,7.79799,8.20128,7.51712,8.38852,Y,Y,N,N,0.00024,0.00009,N,N,2,145
LOGZ,rf0008,9.02807,8.96873,9.04125,8.87643,9.04784,Y,Y,N,N,0.00000,0.02225,N,N,1,238
LOGQ,rf0010,7.34428,7.29387,7.44511,7.23626,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,51
LOGZ,rf0010,8.23693,8.17100,8.36219,8.09848,8.47427,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0011,7.04902,7.01301,7.18585,6.98420,7.30828,Y,Y,N,N,0.04539,0.00000,N,N,1,10
LOGZ,rf0011,8.39515,8.32922,8.52701,8.26330,8.64568,Y,Y,N,N,0.00000,0.00000,N,N,1,142
