Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oiii4959,rf0001,Y,0.54550,0.45349,3.01782,17.89209
hbeta,rf0001,Y,1.00000,1.00000,0.00000,29.51379
oiii5007,rf0001,Y,1.76243,1.30601,10.97811,42.39132
nii6548,rf0001,Y,0.09059,0.10279,-2.11552,15.70602
halpha,rf0001,Y,2.85262,2.90908,-1.51990,76.79172
nii6584,rf0001,Y,0.27311,0.30267,-1.69945,15.69841
sii6717,rf0001,Y,0.58780,0.32898,7.11320,16.15482
sii6731,rf0001,Y,0.38811,0.28441,4.45070,16.65700
oiii4959,rf0002,Y,0.52546,0.41278,6.65800,31.04805
hbeta,rf0002,Y,1.00000,1.00000,0.00000,62.47261
oiii5007,rf0002,Y,1.00651,1.18850,-10.06377,55.65756
nii6548,rf0002,Y,0.34932,0.30417,7.93151,61.36968
halpha,rf0002,Y,2.75963,2.88752,-6.02546,130.01966
nii6584,rf0002,Y,1.04657,0.89555,8.79644,60.95840
sii6717,rf0002,Y,0.81515,0.63482,10.08632,45.59360
sii6731,rf0002,Y,0.50747,0.54914,-2.27261,27.67430
oiii4959,rf0003,Y,0.13383,0.12253,2.42529,28.71282
hbeta,rf0003,Y,1.00000,1.00000,0.00000,130.14836
oiii5007,rf0003,Y,0.44890,0.35283,16.62366,77.67720
nii6548,rf0003,Y,0.30512,0.22255,36.91397,136.41064
halpha,rf0003,Y,2.80734,2.90705,-7.01671,197.55617
nii6584,rf0003,Y,0.91708,0.65526,38.80945,135.93442
sii6717,rf0003,Y,0.47445,0.74090,-49.38631,87.94067
sii6731,rf0003,Y,0.34574,0.63563,-53.80207,64.16502
oiii4959,rf0006,Y,0.39715,0.32108,1.41779,7.40221
hbeta,rf0006,Y,1.00000,1.00000,0.00000,17.08012
oiii5007,rf0006,Y,1.20262,0.92460,4.45516,19.27150
nii6548,rf0006,Y,0.19807,0.19272,0.43163,15.96375
halpha,rf0006,Y,2.87697,2.90167,-0.47731,55.58330
nii6584,rf0006,Y,0.59809,0.56740,0.82012,15.98156
sii6717,rf0006,Y,0.76071,0.52419,5.43821,17.49072
sii6731,rf0006,Y,0.57392,0.45329,3.06275,14.57166
oiii4959,rf0007,Y,0.21314,0.17774,0.79507,4.78714
hbeta,rf0007,Y,1.00000,1.00000,0.00000,21.12740
oiii5007,rf0007,Y,0.47329,0.51179,-0.85500,10.51108
nii6548,rf0007,Y,0.43244,0.37434,4.65051,34.61504
halpha,rf0007,Y,2.84592,2.89536,-1.11259,64.03687
nii6584,rf0007,Y,1.30313,1.10221,5.33218,34.58293
sii6717,rf0007,Y,0.83367,0.90430,-1.92822,22.75779
sii6731,rf0007,Y,0.41173,0.77714,-11.17583,12.59255
oiii4959,rf0010,Y,0.73621,0.58729,14.11176,69.76340
hbeta,rf0010,Y,1.00000,1.00000,0.00000,92.53548
oiii5007,rf0010,Y,2.20738,1.69122,37.89062,162.04120
nii6548,rf0010,Y,0.10147,0.10960,-3.84237,47.98916
halpha,rf0010,Y,2.80087,2.90319,-8.30831,227.44691
nii6584,rf0010,Y,0.30486,0.32271,-2.79848,47.80086
sii6717,rf0010,Y,0.51934,0.31396,24.19787,61.18716
sii6731,rf0010,Y,0.34483,0.27097,10.83799,50.60377
oiii4959,rf0011,Y,0.24066,0.21227,0.76491,6.48464
hbeta,rf0011,Y,1.00000,1.00000,0.00000,24.08720
oiii5007,rf0011,Y,0.71336,0.61125,2.49552,17.43393
nii6548,rf0011,Y,0.27167,0.21661,5.38348,26.56516
halpha,rf0011,Y,2.84548,2.90357,-1.29938,63.65128
nii6584,rf0011,Y,0.81862,0.63777,5.86328,26.53975
sii6717,rf0011,Y,0.78474,0.65874,3.69427,23.00895
sii6731,rf0011,Y,0.50891,0.56678,-1.95510,17.19502
oiii4959,rf0013,Y,1.74829,0.94033,100.71726,217.93497
hbeta,rf0013,Y,1.00000,1.00000,0.00000,175.70304
oiii5007,rf0013,Y,5.25506,2.70847,172.90235,356.79644
nii6548,rf0013,Y,0.72225,0.44777,101.48433,267.03835
halpha,rf0013,Y,2.82059,2.90419,-8.25016,278.35942
nii6584,rf0013,Y,2.17279,1.31818,104.75886,266.34202
sii6717,rf0013,Y,0.76129,0.45407,52.02578,128.92115
sii6731,rf0013,Y,0.57727,0.38635,35.32064,106.79288
oiii4959,rf0014,Y,0.37349,0.29939,1.33843,6.74568
hbeta,rf0014,Y,1.00000,1.00000,0.00000,16.57011
oiii5007,rf0014,Y,1.21503,0.86218,5.70910,19.65951
nii6548,rf0014,Y,0.12361,0.16075,-3.03884,10.11248
halpha,rf0014,Y,2.83886,2.90717,-1.36004,56.52135
nii6584,rf0014,Y,0.37230,0.47330,-2.73928,10.09838
sii6717,rf0014,Y,0.78975,0.47416,7.06096,17.66989
sii6731,rf0014,Y,0.54488,0.40993,3.06753,12.38617
oiii4959,rf0015,Y,0.06893,0.04781,21.38568,69.77869
hbeta,rf0015,Y,1.00000,1.00000,0.00000,668.33892
oiii5007,rf0015,Y,0.15093,0.13770,12.53545,143.03178
nii6548,rf0015,Y,0.34739,1.42100,-1679.39766,543.40603
halpha,rf0015,Y,2.74846,3.01500,-69.01637,711.67716
nii6584,rf0015,Y,1.03999,4.18300,-1630.00351,539.35255
sii6717,rf0015,Y,0.35020,0.77460,-295.15106,243.55002
sii6731,rf0015,Y,0.26853,0.69510,-325.46935,204.88173
oiii4959,rf0016,Y,0.29435,0.36273,-1.38484,5.96138
hbeta,rf0016,Y,1.00000,1.00000,0.00000,20.00528
oiii5007,rf0016,Y,1.23327,1.04451,3.57650,23.36698
nii6548,rf0016,Y,0.79864,0.67534,4.73389,30.66180
halpha,rf0016,Y,2.85213,2.90106,-0.57992,33.80774
nii6584,rf0016,Y,2.40763,1.98849,5.33508,30.64593
sii6717,rf0016,Y,1.17695,0.88761,4.11653,16.74460
sii6731,rf0016,Y,0.71378,0.75895,-0.66536,10.51200
oiii4959,rf0017,Y,0.53609,0.44060,5.24838,29.46413
hbeta,rf0017,Y,1.00000,1.00000,0.00000,51.03403
oiii5007,rf0017,Y,1.57136,1.26879,13.00169,67.52324
nii6548,rf0017,Y,0.14079,0.15067,-2.58777,36.87048
halpha,rf0017,Y,2.85723,2.90297,-2.10585,131.55142
nii6584,rf0017,Y,0.42457,0.44361,-1.65388,36.86378
sii6717,rf0017,Y,0.64385,0.40957,16.57651,45.55420
sii6731,rf0017,Y,0.45615,0.35436,8.31362,37.25345
oiii4959,rf0020,Y,0.20331,0.18236,0.71708,6.95813
