Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.00000,-inf,0.02632,-inf,0.15789,Y,Y,Y,N,0.93785,0.00002,Y,N,1,0
LOGQ,rf0001,5.97042,5.83226,6.06253,5.78621,6.10858,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGZ,rf0001,-0.96375,-1.13239,-0.66864,-1.25887,-0.28920,Y,Y,N,N,0.05035,0.00001,N,N,2,8
AGNFRAC,rf0002,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0002,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0002,-1.30103,-inf,-1.25887,-inf,-1.25887,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0003,0.00000,-inf,0.07895,-inf,0.10526,Y,Y,Y,N,0.81721,0.00000,Y,N,1,0
LOGQ,rf0003,6.01647,5.97042,6.15463,5.87832,6.24674,Y,Y,N,N,0.00000,0.00005,N,N,1,28
LOGZ,rf0003,-0.66864,-0.71080,0.25887,-0.79512,inf,Y,Y,N,N,0.00001,0.22198,N,N,2,15
AGNFRAC,rf0006,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0006,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0006,-1.30103,-inf,-1.25887,-inf,-1.25887,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0007,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0007,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0007,-1.30103,-inf,-1.25887,-inf,-1.25887,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0008,1.00000,0.52632,0.97368,0.21053,inf,N,Y,N,Y,0.00303,0.16459,N,N,1,38
LOGQ,rf0008,6.47700,6.33884,inf,6.24674,inf,Y,Y,N,Y,0.00000,0.74685,N,Y,1,38
LOGZ,rf0008,-1.30103,-1.25887,-0.75296,-inf,-0.41568,N,Y,Y,N,0.20770,0.00001,N,N,2,0
AGNFRAC,rf0010,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0010,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0010,-1.30103,-inf,-1.25887,-inf,-1.25887,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0011,0.00000,-inf,0.02632,-inf,0.05263,Y,Y,Y,N,0.98035,0.00000,Y,N,1,0
LOGQ,rf0011,6.15463,6.06253,6.20068,5.97042,6.29279,Y,Y,N,N,0.00000,0.00002,N,N,1,31
LOGZ,rf0011,-0.54216,-0.66864,-0.12056,-1.00591,0.00591,Y,Y,N,N,0.00118,0.00005,N,N,3,18
AGNFRAC,rf0013,0.81579,0.71053,0.94737,0.63158,inf,Y,Y,N,N,0.00000,0.11280,N,N,1,31
LOGQ,rf0013,5.78621,5.69411,5.87832,5.64805,5.97042,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGZ,rf0013,0.09023,0.00591,0.21671,-0.12056,inf,Y,Y,N,N,0.00000,0.15958,N,N,1,33
AGNFRAC,rf0014,0.00000,-inf,0.02632,-inf,0.05263,Y,Y,Y,N,0.98859,0.00000,Y,N,1,0
LOGQ,rf0014,5.87832,5.78621,6.06253,5.69411,6.15463,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGZ,rf0014,-0.62648,-0.87944,-0.54216,-1.04807,-0.12056,Y,Y,N,N,0.00087,0.00002,N,N,3,16
AGNFRAC,rf0015,0.00000,-inf,0.02632,-inf,0.15789,Y,Y,Y,N,0.89339,0.00000,Y,N,1,0
LOGQ,rf0015,5.87832,5.78621,5.97042,5.74016,6.01647,Y,Y,N,N,0.00000,0.00000,N,N,1,25
