Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.00000,1.19940,102.14964,-0.00000
oii3729,rf0001,Y,0.00000,1.64563,140.15349,-0.00000
neiii3869,rf0001,Y,0.11448,0.53039,-8.08767,2.22611
oiii4363,rf0001,Y,0.05666,0.02111,1.01941,1.62450
hgamma,rf0001,Y,0.52991,0.47339,1.55240,14.55556
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,1.42882,-27.67318,17.09396
oiii5007,rf0001,Y,1.76289,4.26295,-57.44227,40.50475
hei5875,rf0001,Y,0.09350,0.10591,-0.44659,3.36562
oi6300,rf0001,Y,0.13946,0.06572,3.60926,6.82583
nii6548,rf0001,Y,0.09083,0.08977,0.17538,15.04260
halpha,rf0001,Y,2.86000,2.80284,1.46985,73.54457
nii6584,rf0001,Y,0.27383,0.26462,0.50562,15.03557
sii6717,rf0001,Y,0.58942,0.49617,2.44802,15.47429
sii6731,rf0001,Y,0.38919,0.37254,0.68288,15.95580
ariii7136,rf0001,Y,0.04527,0.21229,-8.01435,2.17223
oii3726,rf0002,Y,0.00000,2.31399,346.62163,-0.00000
oii3729,rf0002,Y,0.00000,3.14297,470.79845,-0.00000
neiii3869,rf0002,Y,0.40328,0.36898,0.79315,9.32489
oiii4363,rf0002,Y,0.10250,0.00716,2.76016,2.96759
hgamma,rf0002,Y,0.63649,0.47551,5.34267,21.12361
hbeta,rf0002,Y,1.00000,1.00000,0.00000,33.15736
oiii4959,rf0002,Y,0.52658,0.50580,0.65183,16.51393
oiii5007,rf0002,Y,1.01017,1.50908,-14.64264,29.64770
hei5875,rf0002,Y,-0.00729,0.10753,-3.84787,-0.24420
oi6300,rf0002,Y,0.24589,0.15339,3.39507,9.02450
nii6548,rf0002,Y,0.36226,0.33447,2.59111,33.77851
halpha,rf0002,Y,2.86000,2.80460,1.38523,71.51784
nii6584,rf0002,Y,1.08560,0.98598,3.07964,33.56036
sii6717,rf0002,Y,0.84675,1.15665,-9.19996,25.13692
sii6731,rf0002,Y,0.52736,0.87390,-10.03020,15.26400
ariii7136,rf0002,Y,0.01796,0.21418,-5.25507,0.48108
oii3726,rf0003,Y,0.00000,0.83866,499.77517,-0.00000
oii3729,rf0003,Y,0.00000,1.12638,671.23366,-0.00000
neiii3869,rf0003,Y,0.06006,0.02108,3.83781,5.91296
oiii4363,rf0003,Y,-0.00825,0.00047,-1.35482,-1.28225
hgamma,rf0003,Y,0.53314,0.47946,6.11099,60.69958
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.07865,8.53873,20.67520
oiii5007,rf0003,Y,0.44974,0.23466,26.77054,55.97656
hei5875,rf0003,Y,0.08950,0.10805,-3.26404,15.75087
oi6300,rf0003,Y,0.05355,0.03117,4.73638,11.32974
nii6548,rf0003,Y,0.31094,1.03825,-233.88251,99.99018
halpha,rf0003,Y,2.86000,2.83719,1.15443,144.76171
nii6584,rf0003,Y,0.93472,3.06056,-226.64383,99.65387
sii6717,rf0003,Y,0.48393,0.63369,-19.96540,64.51704
