Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.25066,7.17865,7.35149,7.12103,7.48832,Y,Y,N,N,0.00000,0.00000,N,N,2,38
LOGZ,rf0001,8.18418,8.11166,8.31604,8.04573,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,110
LOGQ,rf0003,7.45231,7.31548,7.59634,7.14264,7.70437,Y,Y,N,N,0.00172,0.00000,N,N,2,66
LOGZ,rf0003,8.90939,8.82369,8.93577,8.70502,8.96873,Y,Y,N,N,0.00000,0.00000,N,N,2,220
LOGQ,rf0006,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0006,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0007,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0007,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0008,6.97700,7.01301,8.17967,-inf,8.42453,N,Y,Y,N,0.07118,0.00023,N,N,2,0
LOGZ,rf0008,9.04784,8.36878,9.04125,8.28967,inf,N,Y,N,Y,0.00000,0.08878,N,N,3,241
LOGQ,rf0010,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0010,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0011,6.99860,6.99860,7.20745,-inf,7.35149,Y,Y,N,N,0.08163,0.00000,N,N,1,3
LOGZ,rf0011,8.36878,8.31604,8.63909,8.25670,8.76435,Y,Y,N,N,0.00000,0.00000,N,N,2,138
LOGQ,rf0014,7.11383,7.07062,7.30107,7.02021,7.61795,Y,Y,N,N,0.00183,0.00000,N,N,1,19
LOGZ,rf0014,8.23693,8.16440,8.44130,8.09848,8.81709,Y,Y,N,N,0.00000,0.00000,N,N,3,118
LOGQ,rf0015,7.60354,7.35149,7.68996,7.09223,7.78358,Y,Y,N,N,0.00013,0.00000,N,N,2,87
LOGZ,rf0015,8.61931,8.40834,8.65887,8.32263,8.69842,Y,Y,N,N,0.00000,0.00000,N,N,2,176
LOGQ,rf0017,7.26507,7.18585,7.37309,7.12823,7.50272,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0017,8.22374,8.15781,8.31604,8.09848,8.40834,Y,Y,N,N,0.00000,0.00000,N,N,1,116
LOGQ,rf0019,7.25066,7.17144,7.48112,7.09223,7.92042,Y,Y,N,N,0.00005,0.00001,N,N,1,38
LOGZ,rf0019,8.14463,8.06551,8.32263,7.96662,8.72480,Y,Y,N,N,0.00000,0.00000,N,N,1,104
LOGQ,rf0020,6.99140,6.99860,7.14264,-inf,7.24346,N,Y,Y,N,0.10296,0.00000,N,N,1,2
LOGZ,rf0020,8.38856,8.36219,8.54679,8.30945,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,1,141
LOGQ,rf0023,7.24346,7.18585,7.37309,7.12823,7.56753,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGZ,rf0023,8.20396,8.13803,8.32922,8.07210,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,2,113
LOGQ,rf0024,6.97700,6.99140,7.17144,-inf,7.31548,N,Y,Y,N,0.12919,0.00000,N,N,1,0
LOGZ,rf0024,8.60612,8.36878,8.73139,8.29626,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0028,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0028,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0029,7.25066,7.19305,7.40910,7.13544,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,rf0029,8.35560,8.25670,8.45449,8.19078,8.60612,Y,Y,N,N,0.00000,0.00000,N,N,2,136
LOGQ,rf0030,7.22906,7.22186,7.23626,7.22186,7.23626,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGZ,rf0030,7.47875,7.47216,7.48534,7.46556,7.48534,Y,Y,N,N,0.06141,0.00000,N,N,1,3
LOGQ,rf0031,7.02021,6.99860,7.04902,6.98420,7.07062,Y,Y,N,N,0.06266,0.00000,N,N,1,6
LOGZ,rf0031,8.43471,8.42812,8.44790,8.41493,8.45449,Y,Y,N,N,0.00000,0.00000,N,N,1,148
LOGQ,rf0032,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0032,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0033,7.20745,7.14984,7.32988,7.09943,7.56033,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGZ,rf0033,8.17759,8.11825,8.31604,8.04573,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,2,109
LOGQ,rf0034,7.38749,7.32988,7.53873,7.27227,7.74758,Y,Y,N,N,0.00000,0.00000,N,N,1,57
LOGZ,rf0034,8.11166,8.05233,8.24352,7.98640,8.42812,Y,Y,N,N,0.00000,0.00000,N,N,1,99
LOGQ,rf0040,7.22906,7.09223,7.46671,6.99140,7.62515,Y,Y,N,N,0.02008,0.00000,N,N,2,35
LOGZ,rf0040,8.88302,8.73139,8.92258,8.57975,8.97532,Y,Y,N,N,0.00000,0.00000,N,N,2,216
LOGQ,rf0042,7.40910,7.36589,7.95642,7.28667,8.15087,Y,Y,N,N,0.00000,0.00000,N,N,3,60
LOGZ,rf0042,8.13144,8.09848,8.51382,8.03255,8.74457,Y,Y,N,N,0.00000,0.00000,N,N,3,102
LOGQ,rf0043,7.29387,7.15704,7.43791,7.03461,7.61074,Y,Y,N,N,0.00481,0.00000,N,N,1,44
LOGZ,rf0043,9.00169,8.90939,9.02147,8.79732,9.04125,Y,Y,N,N,0.00000,0.01001,N,N,2,234
LOGQ,rf0045,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0045,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0048,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0048,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0049,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0049,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0051,7.42350,7.36589,7.59634,7.30107,7.97803,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0051,8.05892,7.99958,8.22374,7.92706,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,2,91
LOGQ,rf0053,7.32988,7.27947,7.43070,7.22906,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,rf0053,8.18418,8.11166,8.30285,8.05233,8.40834,Y,Y,N,N,0.00000,0.00000,N,N,1,110
LOGQ,rf0058,7.05622,7.02021,7.22186,6.98420,7.41630,Y,Y,N,N,0.02941,0.00000,N,N,1,11
LOGZ,rf0058,8.33582,8.26330,8.43471,8.19737,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,2,133
LOGQ,rf0059,7.48112,7.43070,7.56033,7.37309,7.61795,Y,Y,N,N,0.00000,0.00000,N,N,1,70
LOGZ,rf0059,8.36219,8.32263,8.36878,8.28307,8.38197,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0060,7.12103,7.07782,7.21465,7.03461,7.33708,Y,Y,N,N,0.00032,0.00000,N,N,1,20
LOGZ,rf0060,8.23033,8.16440,8.32922,8.10507,8.43471,Y,Y,N,N,0.00000,0.00000,N,N,1,117
LOGQ,rf0061,7.38749,7.12103,7.55313,7.01301,7.71157,Y,Y,N,N,0.00764,0.00000,N,N,1,57
LOGZ,rf0061,8.82369,8.40834,8.86324,8.28967,8.93577,Y,Y,N,N,0.00000,0.00000,N,N,3,207
LOGQ,rf0062,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0062,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0064,7.39470,7.33708,7.49552,7.27947,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0064,8.07870,8.04573,8.23033,7.97980,8.34900,Y,Y,N,N,0.00000,0.00000,N,N,1,94
LOGQ,rf0065,7.16424,7.11383,7.26507,7.07062,7.38749,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGZ,rf0065,8.23693,8.16440,8.35560,8.09848,8.52701,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0068,7.19305,7.14984,7.79799,7.08502,8.02124,Y,Y,N,N,0.00001,0.00000,N,N,2,30
LOGZ,rf0068,8.07210,8.03914,8.84347,7.96662,8.92917,Y,Y,N,N,0.00000,0.00000,N,N,2,93
LOGQ,rf0071,6.97700,6.99140,7.18585,-inf,7.32988,N,Y,Y,N,0.13382,0.00000,N,N,1,0
LOGZ,rf0071,8.60612,8.48086,8.64568,8.38197,8.71161,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0072,7.25066,7.23626,7.26507,7.22186,7.27947,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,rf0072,8.36219,8.35560,8.36878,8.35560,8.38197,Y,Y,N,N,0.00000,0.00000,N,N,2,137
LOGQ,rf0073,7.40910,7.35149,7.53153,7.29387,7.69716,Y,Y,N,N,0.00000,0.00000,N,N,1,60
LOGZ,rf0073,8.24352,8.17759,8.35560,8.11825,8.52042,Y,Y,N,N,0.00000,0.00000,N,N,2,119
LOGQ,rf0074,7.07782,7.04181,7.41630,6.98420,7.65395,Y,Y,N,N,0.02866,0.00000,N,N,1,14
LOGZ,rf0074,8.60612,8.54020,8.85006,8.39515,8.96214,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0076,7.18585,7.13544,7.29387,7.08502,7.42350,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGZ,rf0076,8.22374,8.15781,8.32263,8.09848,8.44130,Y,Y,N,N,0.00000,0.00000,N,N,2,116
LOGQ,rf0077,7.53873,7.52433,7.54593,7.52433,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,78
LOGZ,rf0077,8.15781,8.15122,8.16440,8.15122,8.16440,Y,Y,N,N,0.00000,0.00000,N,N,1,106
LOGQ,rf0079,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0079,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0083,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0083,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0084,6.97700,-inf,6.98420,-inf,6.98420,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0084,8.46108,8.45449,8.46767,8.45449,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0092,6.97700,6.98420,7.09223,-inf,7.21465,N,Y,Y,N,0.25992,0.00000,N,N,1,0
LOGZ,rf0092,8.60612,8.44790,8.61272,8.38197,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,174
LOGQ,rf0098,7.45231,7.40190,7.55313,7.34428,7.62515,Y,Y,N,N,0.00000,0.00000,N,N,1,66
LOGZ,rf0098,8.37537,8.32922,8.38856,8.28967,8.40175,Y,Y,N,N,0.00000,0.00000,N,N,2,139
LOGQ,rf0099,7.13544,7.08502,7.25066,7.04181,7.36589,Y,Y,N,N,0.00027,0.00000,N,N,1,22
LOGZ,rf0099,8.24352,8.17759,8.33582,8.11825,8.41493,Y,Y,N,N,0.00000,0.00000,N,N,2,119
LOGQ,rf0102,7.14264,7.09223,7.35149,7.02741,7.71877,Y,Y,N,N,0.00152,0.00000,N,N,1,23
LOGZ,rf0102,8.18418,8.12485,8.35560,8.05233,8.80391,Y,Y,N,N,0.00000,0.00000,N,N,3,110
