Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.00000,1.24808,106.29520,-0.00000
oii3729,rf0001,Y,0.00000,1.68535,143.53593,-0.00000
neiii3869,rf0001,Y,0.11448,0.35457,-4.66872,2.22611
oiii4363,rf0001,Y,0.05666,0.00856,1.37899,1.62450
hgamma,rf0001,Y,0.52991,0.46837,1.69043,14.55556
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.34914,6.15473,17.09396
oiii5007,rf0001,Y,1.76289,1.00561,17.39950,40.50475
hei5875,rf0001,Y,0.09350,0.11161,-0.65183,3.36562
oi6300,rf0001,Y,0.13946,0.03076,5.32004,6.82583
nii6548,rf0001,Y,0.09083,0.11324,-3.71118,15.04260
halpha,rf0001,Y,2.86000,2.87226,-0.31515,73.54457
nii6584,rf0001,Y,0.27383,0.33333,-3.26694,15.03557
sii6717,rf0001,Y,0.58942,0.32390,6.97076,15.47429
sii6731,rf0001,Y,0.38919,0.24192,6.03779,15.95580
ariii7136,rf0001,Y,0.04527,0.32490,-13.41750,2.17223
oii3726,rf0003,Y,0.00000,1.01166,602.86997,-0.00000
oii3729,rf0003,Y,0.00000,1.36376,812.69172,-0.00000
neiii3869,rf0003,Y,0.06006,0.08374,-2.33153,5.91296
oiii4363,rf0003,Y,-0.00825,0.00091,-1.42306,-1.28225
hgamma,rf0003,Y,0.53314,0.46419,7.84958,60.69958
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.10296,4.78777,20.67520
oiii5007,rf0003,Y,0.44974,0.29654,19.06772,55.97656
hei5875,rf0003,Y,0.08950,0.12945,-7.02963,15.75087
oi6300,rf0003,Y,0.05355,0.03455,4.02023,11.32974
nii6548,rf0003,Y,0.31094,0.34176,-9.90920,99.99018
halpha,rf0003,Y,2.86000,2.92814,-3.44914,144.76171
nii6584,rf0003,Y,0.93472,1.00634,-7.63591,99.65387
sii6717,rf0003,Y,0.48393,0.59283,-14.51824,64.51704
sii6731,rf0003,Y,0.35272,0.44328,-12.08812,47.08458
ariii7136,rf0003,Y,0.04846,0.29231,-27.00092,5.36628
oii3726,rf0006,Y,0.00000,1.26974,57.53944,-0.00000
oii3729,rf0006,Y,0.00000,1.71405,77.67354,-0.00000
neiii3869,rf0006,Y,-0.00099,0.24321,-2.63542,-0.01071
oiii4363,rf0006,Y,-0.06320,0.00475,-1.20832,-1.12391
hgamma,rf0006,Y,0.44495,0.46741,-0.38214,7.57172
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.22809,3.49652,8.21789
oiii5007,rf0006,Y,1.20190,0.65690,9.69921,21.38981
hei5875,rf0006,Y,0.12894,0.11694,0.26043,2.79729
oi6300,rf0006,Y,0.09483,0.03567,1.76494,2.82920
nii6548,rf0006,Y,0.19688,0.18854,0.74643,17.62266
halpha,rf0006,Y,2.86000,2.88274,-0.48788,61.36597
nii6584,rf0006,Y,0.59448,0.55508,1.16913,17.64161
sii6717,rf0006,Y,0.75593,0.43623,8.16367,19.30300
sii6731,rf0006,Y,0.57028,0.32573,6.89574,16.08036
ariii7136,rf0006,Y,0.02808,0.32588,-8.73170,0.82322
oii3726,rf0007,Y,0.00000,1.23800,49.25530,-0.00000
oii3729,rf0007,Y,0.00000,1.67047,66.46152,-0.00000
neiii3869,rf0007,Y,-0.17408,0.11312,-3.35506,-2.03360
oiii4363,rf0007,Y,0.10169,0.00134,1.70590,1.72876
hgamma,rf0007,Y,0.31112,0.46559,-2.71520,5.46854
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.12435,1.82828,4.38720
oiii5007,rf0007,Y,0.47353,0.35817,2.34717,9.63494
hei5875,rf0007,Y,0.07936,0.12590,-1.04899,1.78922
oi6300,rf0007,Y,0.12910,0.04254,2.37155,3.53686
nii6548,rf0007,Y,0.43462,0.31997,8.40810,31.87362
halpha,rf0007,Y,2.86000,2.90430,-0.91327,58.96004
nii6584,rf0007,Y,1.30974,0.94226,8.93505,31.84513
sii6717,rf0007,Y,0.83806,0.63506,5.07705,20.96023
sii6731,rf0007,Y,0.41393,0.47403,-1.68410,11.59860
ariii7136,rf0007,Y,0.15869,0.33142,-4.14838,3.81119
oii3726,rf0008,Y,0.00000,0.23151,27.72390,-0.00000
oii3729,rf0008,Y,0.00000,0.30947,37.05864,-0.00000
neiii3869,rf0008,Y,-0.15286,0.01415,-2.99498,-2.74122
oiii4363,rf0008,Y,-0.04229,0.00006,-1.17240,-1.17068
hgamma,rf0008,Y,0.66087,0.45959,5.69474,18.69788
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.05855,1.31956,3.36936
oiii5007,rf0008,Y,0.21956,0.16868,1.76725,7.62680
hei5875,rf0008,Y,0.09600,0.14494,-1.93419,3.79467
oi6300,rf0008,Y,0.02792,0.00569,1.00279,1.25952
nii6548,rf0008,Y,0.29594,0.24981,4.80088,30.79445
halpha,rf0008,Y,2.86000,3.01042,-4.11615,78.26470
nii6584,rf0008,Y,0.89042,0.73549,5.34493,30.71795
sii6717,rf0008,Y,0.23359,0.18700,1.87430,9.39814
sii6731,rf0008,Y,0.16906,0.14047,1.24842,7.38173
ariii7136,rf0008,Y,-0.04334,0.14712,-8.06542,-1.83521
oii3726,rf0010,Y,0.00000,1.21702,187.44911,-0.00000
oii3729,rf0010,Y,0.00000,1.64357,253.14825,-0.00000
neiii3869,rf0010,Y,0.33755,0.37078,-1.44575,14.68607
oiii4363,rf0010,Y,0.05380,0.00938,2.89578,3.50733
hgamma,rf0010,Y,0.56584,0.46829,5.46155,31.68031
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
