Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oiii4959,rf0001,Y,0.54550,0.46986,2.48083,17.89209
hbeta,rf0001,Y,1.00000,1.00000,0.00000,29.51379
oiii5007,rf0001,Y,1.76243,1.35311,9.84523,42.39132
nii6548,rf0001,Y,0.09059,0.11715,-4.60423,15.70602
halpha,rf0001,Y,2.85262,2.90653,-1.45114,76.79172
nii6584,rf0001,Y,0.27311,0.34493,-4.12854,15.69841
sii6717,rf0001,Y,0.58780,0.34919,6.55787,16.15482
sii6731,rf0001,Y,0.38811,0.30187,3.70127,16.65700
oiii4959,rf0002,Y,0.52546,0.41278,6.65800,31.04805
hbeta,rf0002,Y,1.00000,1.00000,0.00000,62.47261
oiii5007,rf0002,Y,1.00651,1.18850,-10.06377,55.65756
nii6548,rf0002,Y,0.34932,0.30417,7.93151,61.36968
halpha,rf0002,Y,2.75963,2.88752,-6.02546,130.01966
nii6584,rf0002,Y,1.04657,0.89555,8.79644,60.95840
sii6717,rf0002,Y,0.81515,0.63482,10.08632,45.59360
sii6731,rf0002,Y,0.50747,0.54914,-2.27261,27.67430
oiii4959,rf0003,Y,0.13383,0.04781,18.45626,28.71282
hbeta,rf0003,Y,1.00000,1.00000,0.00000,130.14836
oiii5007,rf0003,Y,0.44890,0.13770,53.84954,77.67720
nii6548,rf0003,Y,0.30512,1.42100,-498.88911,136.41064
halpha,rf0003,Y,2.80734,3.01500,-14.61316,197.55617
nii6584,rf0003,Y,0.91708,4.18300,-484.08938,135.93442
sii6717,rf0003,Y,0.47445,0.77460,-55.63359,87.94067
sii6731,rf0003,Y,0.34574,0.69510,-64.83824,64.16502
oiii4959,rf0006,Y,0.39715,0.33193,1.21561,7.40221
hbeta,rf0006,Y,1.00000,1.00000,0.00000,17.08012
oiii5007,rf0006,Y,1.20262,0.95581,3.95507,19.27150
nii6548,rf0006,Y,0.19807,0.20870,-0.85652,15.96375
halpha,rf0006,Y,2.87697,2.89892,-0.42416,55.58330
nii6584,rf0006,Y,0.59809,0.61446,-0.43719,15.98156
sii6717,rf0006,Y,0.76071,0.54920,4.86311,17.49072
sii6731,rf0006,Y,0.57392,0.47497,2.51234,14.57166
oiii4959,rf0007,Y,0.21314,0.17733,0.80429,4.78714
hbeta,rf0007,Y,1.00000,1.00000,0.00000,21.12740
oiii5007,rf0007,Y,0.47329,0.51060,-0.82864,10.51108
nii6548,rf0007,Y,0.43244,0.32887,8.29035,34.61504
halpha,rf0007,Y,2.84592,2.89456,-1.09465,64.03687
nii6584,rf0007,Y,1.30313,0.96831,8.88561,34.58293
sii6717,rf0007,Y,0.83367,0.87432,-1.10968,22.75779
sii6731,rf0007,Y,0.41173,0.75106,-10.37810,12.59255
oiii4959,rf0010,Y,0.73621,0.60695,12.24867,69.76340
hbeta,rf0010,Y,1.00000,1.00000,0.00000,92.53548
oiii5007,rf0010,Y,2.20738,1.74778,33.73829,162.04120
